urn|textgroup|groupname_eng|has_mads|mads_possible|notes|urn_status|created_by|edited_by
urn:cite:perseus:cattg.127.1|urn:cts:greekLit:tlg0165|Diodorus, Sardianus fl.1. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.128.1|urn:cts:greekLit:tlg0166|Diodorus, Aristophanaeus, 1. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.129.1|urn:cts:greekLit:tlg0167|Dionysius Epigrammaticus Person der Antike|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.130.1|urn:cts:greekLit:tlg0168|Dionysius Andrius ca. 2. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.131.1|urn:cts:greekLit:tlg0169|Dionysius Cyzicenus 3./2. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.132.1|urn:cts:greekLit:tlg0170|Dionysius, Rhodius 3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.133.1|urn:cts:greekLit:tlg0171|Dionysius Sophista 1./2. Jh. n. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.134.1|urn:cts:greekLit:tlg0172|Diophanes Myrinus 1. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.135.1|urn:cts:greekLit:tlg0173|Dioscorides 3rd cent. B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.136.1|urn:cts:greekLit:tlg0174||true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.137.1|urn:cts:greekLit:tlg0175|Diotimus Atheniensis 4./3. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.138.1|urn:cts:greekLit:tlg0176|Diotimus Milesius fl.1. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.139.1|urn:cts:greekLit:tlg0177|Diphilus Atheniensis 4./3. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.140.1|urn:cts:greekLit:tlg0178|Duris, Eleaticus 4./3. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.141.1|urn:cts:greekLit:tlg0179|Epigonus Thessalonicensis 1. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.142.1|urn:cts:greekLit:tlg0180|Erycius, Cyzicenus, 1. Jh. v. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.143.1|urn:cts:greekLit:tlg0181|Etruscus Epigrammaticus ca. 1. Jh. n. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.144.1|urn:cts:greekLit:tlg0182|Evenus Ascalonius 1. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.145.1|urn:cts:greekLit:tlg0183|Evenus, Atheniensis, 1. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.146.1|urn:cts:greekLit:tlg0184|Eugenes Epigrammaticus 3. Jh. v. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.147.1|urn:cts:greekLit:tlg0185|Evodus Epigrammaticus 2./3. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.148.1|urn:cts:greekLit:tlg0186|Fronto, Marcus Cornelius|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.149.1|urn:cts:greekLit:tlg0187|Gaetulicus, Epigrammaticus, 1. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.150.1|urn:cts:greekLit:tlg0188|Gaetulicus, Epigrammaticus, 1. Jh. n. Chr.|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.151.1|urn:cts:greekLit:tlg0189|Gallus, Gaius Cornelius, 69?-26 B.C|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.152.1|urn:cts:greekLit:tlg0190|Gauradas, Epigrammaticus d 2./5. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.153.1|urn:cts:greekLit:tlg0191|Germanicus Caesar 15 B.C.-19 A.D|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.154.1|urn:cts:greekLit:tlg0192|Glaucus, Atheniensis, 2. Jh. v. Chr./3. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
urn:cite:perseus:cattg.155.1|urn:cts:greekLit:tlg0193|Glaucus, Nicopolitanus, 2. Jh. v. Chr./3. Jh. n. Chr|true|true||published|feed_aggregator|feed_aggregator
