Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Alexander the Great					Epistola Alexandri Macedonis Ad Aristotelem Magistruum suum de Itinere Suo Et De Situ Indiae								new collection	none	stoa0020b-stoa001	none	none			``	``		
Alexander Polyhistor					Fragmenta								new collection	none	none	none	1864.001			yes	need to enhance		
Alexis					Fragmenta								new collection	none	none	none	0402.001			yes 	n.a.		
Alexis					Fragmentum								new collection	none	none	none	0402.003			``	``		
Alexis					Fragmenta								new collection	none	none	none	0402.005			``	``		
Alfius Avitus					Belli Carthaginiensis								new collection	none	none	1203.1	none			yes	n.a.		
Alpheus of Mitylene					Epigrammata								new collection	none	none	none	0108.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0143.html	
Alypius					Isagoge Musica								new collection	none	none	none	2135.001			yes (dnb)	yes		
Amelesagoras					Fragmenta								new collection	none	none	none	2219.003			yes	need to enhance		
Amipsias					Fragmenta								new collection	none	none	none	0403.001			yes (dnb)	yes		"Smith, vol 1, pg. 141-2, ""Ameipsias….:"""
Amipsias					Fragmentum								new collection	none	none	none	0403.003			yes(dnb)	yes		
Ammianus					Epigrammata								new collection	none	none	none	0109.001			yes (dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=bnp_e118020	
Ammianus Marcellinus					Rerum Gestarum (Res Gestae A fine Corneli Tacti)								Part of Perseus 4.0 and new collection	Perseus:abo:stoa,0023,001	stoa0023-stoa001	none	none			yes	n.a.		
Ammon					Katarchon								new collection	none	none	none	4350.225			yes(dnb)	need to enhance		
Ammonides					Epigrammata								new collection	none	none	none	0110.001			yes (dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=dnp_e12219250	in German version only
Ammonius					Epigrammata								new collection	none	none	none	0289.002			no	yes	http://www.ancientlibrary.com/smith-bio/0155.html	
Ammonius, Hermiae					in Porphyrii Isagogen sive V voces								new collection	none	none	none	4016.001			yes	need to enhance		
Ammonius, Hermiae					in Aristotelis Categorias commentarius								new collection	none	none	none	4016.002			``	``		
Ammonius, Hermiae					in Aristotelis de Interpretatione commentarius								new collection	none	none	none	4016.003			``	``		
Ammonius, Hermiae					in Aristotelis Analyticorum Priorum librum I commentarium								new collection	none	none	none	4016.004			``	``		
Amometus					Fragmenta								new collection	none	none	none	2445.001			yes	need to enhance		
Ampelius, Lucius					Liber Memorialis								new collection	none	stoa0024-stoa001	1206.1	none			yes	n.a.		
Amphilochius					Vita Sancti Basili								new collection	none	stoa0024a-stoa001	none	none		bhl(1022)	yes	n.a.		bhl (1022)
Amphis 					Fragmenta								new collection	none	none	none	0404.001			yes (dnb)	yes		
Anacharsis					Epistulae								new collection	none	none	none	0037.001			yes(Dnb)			
Anacreon					Anacreontia/Anacreontea								new collection	none	none	none	4150.001			yes	n.a.		
Anacreon					Fragmenta (Elegiae)								new collection	none	none	none	0237.001			yes	n..		
Anacreon					Fragmenta								new collection	none	none	none	0237.002			``	n.a.		
Anacreon					Epigrammata								new collection	none	none	none	0237.004			``	n.a.		
Ananius					Fragmenta								new collection	none	none	none	0238.001			yes (dnb)	yes		
Anaritius					In Decem Libros Priores Elementorum Euclides Commentarii								new collection	none	stoa0024b-stoa001	none	none			yes	yes		
Anastasius Traulus					Epigrammata								new collection	none	none	none	9005.001			yes (dnb)	yes	http://www.brillonline.nl/subscriber/entry?entry=bnp_e120080	[6] Traulus Byzantine poet, Byzantine poet (ὁ Τραυλός; ho Traulós = ‘the Stutterer’), contemporary of Arethas; also named after the official position that he held, (clearly in the year 906) in Constantinople, ‘the Quaestor’ (ὁ Κοιαίστωρ). He is the author of some hymns and of a weak epigram about the Crucifixion (Anth. Pal. 15,28), in which he did not conceal his anti-Jewish attitude (v. 8, cf. Evangelium Petri 16); it consists of 14 dactylic hexameters, which are not free of metrical licence (v. 11). Another of his epigrams, which was carved on a commemorative stone of the Hippodrome, was ridiculed by the afore-mentioned Arethas (cf. schol. marg. Areth. Scripta minora 1, 322, 15 Westerink). Possibly A. is also ridiculed by Leo Philosophus (Epigr. 11 W.).
Anaxandrides					Fragmenta								new collection	none	none	none	0405.001			yes(dnb)	yes		
Anaxandrides					Fragmentum								new collection	none	none	none	0405.002			``	``		
Anaxilas					Fragmenta								new collection	none	none	none	0406.001			yes(dnb)	yes		
Anaximander					Fragmenta								new collection	none	none	none	1120.002			yes(dnb)	need to enhance		
Anaxippus					Fragmenta								new collection	none	none	none	0407.001			yes (dnb)	yes		
Anaximenes, of Lampsacus					Rhetorica ad Alexandrum								new collection	none	none	none	0547.001			yes			
Anaximenes Milesius					Epistulae								new collection	none	none	none	1121.001			yes(Dnb)	yes		
Andocides					On the Mysteries								Part of Perseus 4.0	Perseus:abo:tlg,0027,001	none	none	0027.001	400BCE-399BCE		yes	n.a.		
Andocides					On His Return								Part of Perseus 4.0	Perseus:abo:tlg,0027,002	none	none	0027.002	410BCE		``	n.a.		
Andocides					On the Peace								Part of Perseus 4.0	Perseus:abo:tlg,0027,003	none	none	0027.003	390BCE		``	n.a.		
Andocides					Against Alcibiades								Part of Perseus 4.0	Perseus:abo:tlg,0027,004	none	none	0027.004	415BCE		``	n.a.		
Andron Alexandrinus					Fragmenta								new collection	none	none	none	2172.002			yes	yes		
Andron Historicus					Fragmenta								new collection	none	none	none	4347.001			yes	yes		
Andron Halicarnassensis					Fragmenta								new collection	none	none	none	1123.002			yes	yes		
Andron Teius					Fragmenta								new collection	none	none	none	2536.003			yes	yes		
Andronicus					Epigrammata								new collection	none	none	none	0111.001			yes (dnb)	no	http://www.ancientlibrary.com/smith-bio/0185.html	
Androtion					Fragmenta								new collection	none	none	none	1125.002			yes 	yes		
Annianus					Carmina								new collection	none	none	1209.1	none			yes	n.a.		
Antander					Testimonium								new collection	none	none	 none	2389.001			yes (dnb)	yes		
Antagoras					Epigrammata								new collection	none	none	none	0215.002			yes (dnb)	yes		
Anthimus					De observatione ciborum epistula ad Theudericum								new collection	none	stoa0028b-stoa001	none	none			yes	n.a.		
Antidotus					Fragmenta								new collection	none	none	none	0409.001			yes (dnb)	yes		
Antigenes					Epigramma								new collection	none	none	none	0139x01			yes(dnb)	yes		
Antigonus of Carystus					Epigramma								new collection	none	none	none	0568.002			yes 	n.a.		
Antimachus					Epigrammata								new collection	none	none	none	0239.003			``	n.a.		
"Antimachus 
"					Fragmenta								new collection	none	none	none	0239.001			yes	n.a.		
Antiochus 					Epigrammata								new collection	none	none	none	0112.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0203.html	
Antiochus Epistolographus					Epistulae								new collection	none	none	none	0044.001			yes(dnb)	yes		
Antiochus Historicus					Fragmenta								new collection	none	none	none	1879.001			yes(dnb)	yes		
Antiochus Syracusanus					Fragmenta								new collection	none	none	none	1145.003			yes(dnb)	yes		
Antipater Macedo					Testimonium								new collection	none	none	none	1929.001			yes	yes		
Antipater of Sidon 					Epigrammata								new collection	none	none	none	0113.001			yes	n.a.		
Antipater of Thessalonica 					Epigrammata								new collection	none	none	none	0114.001			yes	n.a.		
Antipater Tarsensis					Fragmenta et Testimonia								new collection	none	none	none	1146.001			yes(dnb)	yes		
Antipater? 					Epigrammata								new collection	none	none	none	1865.001			no	no	n.a.	
Antiphanes Comic. 					Fragmenta								new collection	none	none	none	0410.001			yes	no		
Antiphanes Comic. 					Fragmentum								new collection	none	none	none	0410.003			``	``		
Antiphanes Epigr.					Epigrammata								new collection	none	none	none	0117.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0214.html	
Antiphilus of Byzantium LEFT OFF HERE FOR CHECKING FOR ABBREVIATIONS (FOR LS-OLD), FOR ADDING GREEK/FRENCH/SPANISH/ITALIAN AUTHOR NAMES (USE WIKIPEDIA), AND FOR RECHECKING AUTHORITY RECORDS FOR GREEK/ARABIC/HEBREW ADDITIONS)					Epigrammata								new collection	none	none	none	0118.001			yes (dnb)	yes	http://www.ancientlibrary.com/smith-bio/0214.html	
Antiphon					In Novercam								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0028,001	none	none	0028.001	430BCE-411BCE		yes	n.a.		
Antiphon					Tetralogia 1								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0028,002	none	none	0028.002	460BCE-440BCE		``	n.a.		
