Authors	Perseus Author Name	Author-Abbreviation (LSJ)	Author Abbreviation (OLD)	Author Abbreviation (Lewis & Short)	Work Title	Abbreviated Work Title	OLD Edition	P	Loeb Edition	P	Teubner edition	P	Status	ABOS	STOA	PHI	TLG	Date Created	Other (bhl, Perseus)	Authority Record	Created one/Enhanced existing one	Smith or Making of America location	Notes
Sophilus Comicus					Fragmenta								new collection	none	none	none	0502.001			yes(dnb)	need to enhance		
Sophocles					Trachiniae								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0011,001	none	none	0011.001	409BCE		yes	yes		
Sophocles					Antigone								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0011,002	none	none	0011.002	442BCE		``	``		
Sophocles					Ajax								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0011,003	none	none	0011.003	451BCE		``	``		
Sophocles					Oedipus Tyrannus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0011,004	none	none	0011.004	409BCE		``	``		
Sophocles					Electra								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0011,005	none	none	0011.005	409BCE		``	``		
Sophocles					Philoctetes								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0011,006	none	none	0011.006	409BCE		``	``		
Sophocles					Oedipus at Colonus								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0011,007	none	none	0011.007	406BCE		``	``		401BCE, produce on stage
Sophocles					Ichneutae (Fragmenta Tragica)								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0011,008	none	none	0011.008	420BCE-406BCE		``	``		
Sophocles					Euryplus (Fragmenta Tragica)								new  collection	none	none	none	0011.008						
Sophocles					Achaeorum Conventus (Fragmenta Tragica)								new  collection	none	none	none	0011.008						
Sophocles					Fragmenta (Elegiaca)								new collection	none	none	none	0011.009			``	``		
Sophocles Iunior					Fragmenta								new collection	none	none	none	0326.001			yes(dnb)	need to enhance		
Sophonias					in libros Aristotelis de Anima paraphrasis								new collection	none	none	none	4030.001			yes	need to enhance		
Sophron					Fragmenta								new collection	none	none	none	0524.002			yes	yes		
Sophronius					Vita Sanctae Mariae Aegyptiacae								new collection	none	none	none	4042.009		5415	yes	need to enhance	Latin translation	
Sophronius					Epigrammata								new collection	none	none	none	4042.016			``	``		There is a BHL identifier
Soranus of Ephesus					Gynaecia								new collection	none	none	none	0565.001			yes	yes		
Sosicrates					Fragmenta								new collection	none	none	none	0503.001			yes (dnb)	yes		
Sosigenes					Testimonium								new collection	none	none	none	1748.001			no	yes		
Sosipater					Fragmenta								new collection	none	none	none	0504.001			yes (dnb)	yes		
Sosiphanes					Fragmenta 								new collection	none	none	none	0338.001			yes(dnb)	need to enhance		
Sositheus					Fragmenta 								new collection	none	none	none	0340.001			yes(dnb)	need to enhance		
Sotades					Fragmenta								new collection	none	none	none	1691.001			yes	yes		
Sotades Comicus					Fragmenta								new collection	none	none	none	0505.001			yes (dnb)	yes		
Sotades Comicus					Fragmentum								new collection	none	none	none	0505.003			``	``		
Spartianus, Aelius					Hadrian								new collection	none	stoa0324	2331.1	none			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=901; http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t9.e1454	"Smith, Volume 3, pg. 893, ""Spartianus, Delius"" looks like, This Oxford record could be used for all six of the authors of the Historia August"
Spartianus, Aelius					Aelius								new collection	none	stoa0324	2331.2	none			``	``		
Spartianus, Aelius					Didius Julianus								new collection	none	stoa0324	2331.9	none			``	``		
Spartianus, Aelius					Severus								new collection	none	stoa0324	2331.10	none			``	``		
Spartianus, Aelius					Pescennius Niger								new collection	none	stoa0324	2331.11	none			``	``		
Spartianus, Aelius					Antoninus Caracalla								new collection	none	stoa0324	2331.13	none			``	``		
Spartianus, Aelius					Antoninus Geta								new collection	none	stoa0324	2331.14	none			``	``		
Speusippus					Epigramma								new collection	none	none	none	1692.004			yes	``		
Sphaerus					Fragmenta								new collection	none	none	none	1693.001			yes(dnb)	need to enhance		
Statius, Papinius					Thebais								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1020,001	stoa0267-stoa003	1020.1	none			yes	yes		
Statius, Papinius					Achilleis								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1020,003	stoa0267-stoa001	1020.3	none			``	``		
Statius, Papinius					Silvae								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1020,002	stoa0267-stoa002	1020.2	none			``	``		
Statius, Papinius					De Bello Germanico								new collection	none	none	1020.4	none			``	``		
Statyllius Flaccus 					Epigrammata 								new collection	none	none	none	1694.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0002.001;didno=ACL3129.0002.001;view=image;seq=00000167; http://www.brillonline.nl/subscriber/entry?entry=bnp_e411970	"Smith, Volume 2, pg. 157, ""Flaccus, Statilius"", Brill, is also ""Flaccus, Statilius, no. 1"""
Stephanos, ho Byzantios (Stephanus Grammaticus)					Ethnika								new collection	none	none	none	4028.001			yes	need to enhance		
Stephanos, ho Byzantios (Stephanus Grammaticus)					Epigrammata								new collection	none	none	none	4028.002			```	``		
Stephanus Comicus					Fragmenta								new collection	none	none	none	0506.001			yes (dnb)	need to enhance		
Stephanus de Borbone					Anecdotes historiques, le´gendes et apologues . Selections.								new collection	none	stoa0267a-stoa001	none	none			yes	need to enhance		
Stesichorus					Fragmenta								new collection	none	none	none	0292.001			yes	need to enhance		
Stesimbrotus					Fragmenta								new collection	none	none	none	1923.003			yes (dnb)	need to enhance		
Sthenelus					Fragmenta								new collection	none	none	none	0315.001			yes(dnb)	need to enhance		
Stigel, Johann					Poem in German Latin Lyricists. Selections.								new collection	none	stoa0267b-stoa001	none	none			yes	need to enhance		
Stobaeus					Eclogarum physicarum et ethicarum								new collection	none	none	none	2037.001			yes	need to enhance		
Strabo					Geography								Part of Perseus 4.0 and new collection	Perseus:abo:tlg,0099,001	none	none	0099.001	20BCE-40		yes	yes		
Straton Comicus					Fragmenta								new collection	none	none	none	0507.001			yes(dnb)	need to enhance		
Straton, of Lampsacus					Fragmenta								new collection	none	none	none	1696.001			yes	need to enhance		
Straton, of Sardis (strato)					Epigrammata								new collection	none	none	none	1697.001			yes	need to enhance		
Strattis					Fragmenta								new collection	none	none	none	0508.001			yes	need to enhance	http://www.brillonline.nl/subscriber/entry?entry=dnp_e1124190	"Smith, Volume 3, pg. 926: ""An athenian comic poet of the old comedy…""Strattis, Brill: Strattis 2, German only"
Strattis					Fragmentum								new collection	none	none	none	0508.003			``	``		
Suidas Thessalius					Fragmenta								new collection	none	none	none	2416.001			yes (dnb)	need to enhance		
Sueius					Carmina								new collection	none	none	650.1	none			yes	need to enhance		
Suetonius					Vitae Caesarum								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,001	stoa0268-stoa006	1348.1	none	100-120		yes	yes		
Suetonius					Divus Julius								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,011	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Divus Augustus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,012	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Tiberius								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,013	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Caligula								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,014	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Divus Claudius								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,015	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Nero								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,016	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Galba								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,017	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Otho								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,018	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Vitellius								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,019	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Divus Vespasianus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,020	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Divus Titus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,021	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					Domitianus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1348,022	stoa0268-stoa006	1348.1	none	100-120		``	``		
Suetonius					De Poetis								new collection	none	stoa0268-stoa004	1348.2	none			``	``		
Suetonius					De Historicis								new collection	none	stoa0268-stoa002	1348.3	none			``	``		
Suetonius					De Grammaticis et Rhetoribus								new collection	none	stoa0268-stoa001, stoa0268-stoa005	1348.4	none			``	``		
Suetonius					De Oratoribus								new collection	none	stoa0268-stoa003	none	none			``	``		
Suetonius Paulinus					Commentarii  								new collection	none	stoa0268a-stoa001	none	none			yes	need to enhance		
Sulla					Commentarii Rerum Gestarum								new collection	none	none	652.1	none			yes	need to enhance		
Sulpicia (Caleni Uxor)					Carmen								new collection	none	none	1023.1	none			yes	need to enhance		
Sulpicia (Caleni Uxor)					De Statu Rei Publicae [sp.]/Sulpiciae Conquestio								new collection	none	none	1023.2	none			``	``		
Sulpicia					Elegiae								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0660,003	stoa0269-stoa002	none	none	40BCE-10BCE		yes	yes		Uncertain if Stoa0269 is for this Sulpicia or the other one but needed a unique identifier to fix the catalog aggregation issue, and the other Sulpicia has a PHI
Sulpicius (C. Sulpicius Apollinaris)					Carmina								new collection	none	none	1235.7	none			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=953; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1125490; http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t111.e6129	"Smith, Volume 3, pg. 945, in Brill, ""[II 2] C. S. Apollinaris lat. Grammatiker, 1. H. 2. Jh."""
Sulpicius (C. Sulpicius Apollinaris)					Periocha Andria								new  collection	none	none	1235.1	none			``	``		Created identifier for this
Sulpicius (C. Sulpicius Apollinaris)					Periocha Heauton Timorumenos								new  collection	none	none	1235.2	none			``	``		
Sulpicius (C. Sulpicius Apollinaris)					Periocha Eunuchus								new  collection	none	none	1235.3	none			``	``		
Sulpicius (C. Sulpicius Apollinaris)					Periocha Phormio								new  collection	none	none	1235.4	none			``	``		
Sulpicius (C. Sulpicius Apollinaris)					Periocha Hecyra								new  collection	none	none	1235.5	none			``	``		
Sulpicius (C. Sulpicius Apollinaris)					Periocha Adelphoe								new  collection	none	none	1235.6	none			``	``		
Sulpicius Blitho					Fragmenta								new collection	none	stoa0269a-stoa001	none	none			no	yes	http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t111.e6130	
Sulpicius Carthaginensis					Hexasticha in Aeneidis Libris								new collection	none	stoa0269b-stoa001	none	none			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=953; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1125490	Smith, Volume 3, pg. 945, mentioned in same entry as Suplicius Apollinaris, as in Brill
Sulpicius Lupercus Servasius Junior					Poems								new collection	none	stoa0269c-stoa001	none	none			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=953; http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t111.e5853	"Smith, Volume 3, pg. 947, ""Sulpicius Lupercus Servastus"""
Sulpicius Severus					Dialoga. Selections.								new collection	none	stoa0270-stoa003	none	none			yes	need to enhance		
Sulpicius Severus					Vita S. Martini								new collection	none	stoa0270-stoa002	none	none			``	``		
Sulpicius Victor					Institutiones Oratoriae								new collection	none	stoa0270a-stoa001	none	none			yes	need to enhance		
Susarion					Fragmenta								new collection	none	none	none	0264.001			yes(dnb)	yes		
Symmachus, L. Aurelius Avianus					Carmina								new collection	none	none	2302.1	none			yes	yes		
Symmachus, Quintus Aurelius, d. 405					Relationes								new  collection	none	stoa0271-stoa001	none	none			yes	yes		
Symmachus, Quintus Aurelius, d. 405					Epistulae								new  collection	none	stoa0271-stoa002	none	none			``	``		
Symmachus, Quintus Aurelius, d. 405					Laudes in Valentinianum Seniorem Augustem I and II								new  collection	none	stoa0271-stoa003	none	none			``	``		
Symmachus, Quintus Aurelius, d. 405					Laudes in Gratianum  Augustum								new  collection	none	stoa0271-stoa004	none	none			``	``		
Symmachus, Quintus Aurelius, d. 405					Laudes in Patres								new  collection	none	stoa0271-stoa005	none	none			``	``		
Symmachus, Quintus Aurelius, d. 405					Oratio Pro Patres								new  collection	none	stoa0271-stoa006	none	none			``	``		
Symmachus, Quintus Aurelius, d. 405					Oratio Pro Trygetio								new  collection	none	stoa0271-stoa007	none	none			``	``		
Symmachus, Quintus Aurelius, d. 405					Oratio Pro Synesio								new  collection	none	stoa0271-stoa008	none	none			``	``		
Symmachus, Quintus Aurelius, d. 405					Oratio pro Flavio Severo								new  collection	none	stoa0271-stoa009	none	none			``	``		
Symmachus, Quintus Aurelius, d. 405					Oratio pro Valerio Fortunato								new  collection	none	stoa0271-stoa010	none	none			``	``		
Symmachus, Q. Aurelius Memmius					Historiae								new collection	none	none	2301.2	none			yes	n.a.		
Symmachus, Q. Aurelius Memmius					Carmina								new collection	none	none	2301.1	none			``	``		
Symphosius					Aenigmata								new collection	none	stoa0271a-stoa001	none	none			yes	need to enhance		
Synesius Scholasticus					Epigrammata								new collection	none	none	none	4043.001			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=970; http://www.brillonline.nl/subscriber/entry?entry=dnp_e1127130	"Smith, Volume 3, pg. 962, birefly mentioned in the last paragraph ""Synesius of Cyrene"", ""Brill: ""[2] S. Scholastikos Epigrammatiker, 6. Jh. v. Chr"""
Synesius, Bishop of Ptoelemas					Epistolae								new collection	none	none	none	2006.001			yes	need to enhance		
Synesius, Bishop of Ptoelemas					Epigrammata								new collection	none	none	none	2006.011			```	``		
Tacitus					Agricola								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1351,001	stoa0273-stoa001	1351.1	none	98 A.D.		yes	yes		
Tacitus					Germania								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1351,002	stoa0273-stoa004	1351.2	none	98-99 A.D.		``	``		
Tacitus					Dialogus de Oratoribus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1351,003	stoa0273-stoa003	1351.3	none	101-102 A.D.		``	``		
Tacitus					Historiae								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1351,004	stoa0273-stoa005	1351.4	none	105-110 A.D.		``	``		
Tacitus					Annales								Part of Perseus 4.0 and new collection	Perseus:abo:phi,1351,005	stoa0273-stoa002	1351.5	none	106-117 A.D.		``	``		
Tanusius Geminus					Historia								new collection	none	stoa0273a-stoa001	none	none			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa;cc=moa;rgn=full%20text;idno=ACL3129.0002.001;didno=ACL3129.0002.001;view=image;seq=00000249; http://www.oxfordreference.com/views/ENTRY.html?subview=Main&entry=t111.e6219	Smith, Volume 2, pg. 239
Teleclides					Fragmenta								new collection	none	none	none	0510.001			yes(dnb)	yes		
Teleclides					Fragmentum								new collection	none	none	none	0510.003			``	``		
Telesilla					Fragmenta								new collection	none	none	none	0369.001			yes(dnb)	yes		
Telestes					Fragmenta								new collection	none	none	none	0377.001			yes	yes		
Terence					Andria								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0134,001	stoa0274-stoa002	134.1	no	166BCE		yes	yes		
Terence					Heauton Timorumenos (The Self-Tormenter)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0134,002	stoa0274-stoa004	134.2	no	163BCE		``	``		
Terence					Eunuchus								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0134,003	stoa0274-stoa003	134.3	no	161BCE		``	``		
Terence					Phormio								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0134,004	stoa0274-stoa006	134.4	no	161BCE		``	``		
Terence					Hecyra (The Mother-in-Law)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0134,005	stoa0274-stoa005	134.5	no	165BCE		``	``		
Terence					Adelphoe (The Brothers)								Part of Perseus 4.0 and new collection	Perseus:abo:phi,0134,006	stoa0274-stoa001	134.6	no	160BCE		``	``		
Terentianus Maurus					De Litteris de Syllabis de Metris								new  collection	none	none	1518.1	no			yes	need to enhance		
Terpander					Fragmenta								new collection	none	none	none	0299.001			yes	yes		
Tertullian					Ad Martyras		Tertullian-Oehler	stoa0275-stoa001					new collection	none	stoa0275-stoa001	none	none			yes	need to enhance		
Tertullian					Ad Nationes		Tertullian-Oehler	stoa0275-stoa002					new collection	none	stoa0275-stoa002	none	none			``	``		
Tertullian					Ad Scapulam		Tertullian-Oehler	stoa0275-stoa003					new collection	none	stoa0275-stoa003	none	none			``	``		
Tertullian					Adversus Hermogenem		Tertullian-Oehler	stoa0275-stoa004					new collection	none	stoa0275-stoa004	none	none			``	``		
Tertullian					Adversus Judaeos Liber		Tertullian-Oehler	stoa0275-stoa005					new collection	none	stoa0275-stoa005	none	none			``	``		
Tertullian					Adversus Marcionem		Tertullian-Oehler	stoa0275-stoa006					new collection	none	stoa0275-stoa006	none	none			``	``		
Tertullian					Adversus Praxeam		Tertullian-Oehler	stoa0275-stoa007					new collection	none	stoa0275-stoa007	none	none			``	``		
Tertullian					Adversus Valentinianos		Tertullian-Oehler	stoa0275-stoa008					new collection	none	stoa0275-stoa008	none	none			``	``		
Tertullian					Apologeticum								Part of Perseus 4.0 and new collection	none	stoa0275-stoa009	none	none			``	``		
Tertullian					De Anima								new  collection	none	stoa0275-stoa010	none	none			``	``		
Tertullian					De Baptismo								new  collection	none	stoa0275-stoa011	none	none			``	``		
Tertullian					De Carne Christi								new  collection	none	stoa0275-stoa012	none	none			``	``		
Tertullian					De Corona								new  collection	none	stoa0275-stoa013	none	none			``	``		
Tertullian					De Cultu Feminarum								new  collection	none	stoa0275-stoa014	none	none			``	``		
Tertullian					De Exhortatione Castitatis Liber								new  collection	none	stoa0275-stoa015	none	none			``	``		
Tertullian					De Fuga in Persecutione								new  collection	none	stoa0275-stoa016	none	none			``	``		
Tertullian					De Idolotria								new  collection	none	stoa0275-stoa017	none	none			``	``		
Tertullian					De ieiunio adversus psychicos								new  collection	none	stoa0275-stoa018	none	none			``	``		
Tertullian					De Monogamia								new  collection	none	stoa0275-stoa019	none	none			``	``		
Tertullian					De Oratione								new  collection	none	stoa0275-stoa020	none	none			``	``		
Tertullian					De Paenitentia								new  collection	none	stoa0275-stoa021	none	none			``	``		
Tertullian					De Pallio								new  collection	none	stoa0275-stoa022	none	none			``	``		
Tertullian					De Patientia								new  collection	none	stoa0275-stoa023	none	none			``	``		
Tertullian					De Praescriptionibus Hereticorum								new  collection	none	stoa0275-stoa024	none	none			``	``		
Tertullian					De Pudicitia								new  collection	none	stoa0275-stoa025	none	none			``	``		
Tertullian					De Resurrectione Carnis								new  collection	none	stoa0275-stoa026	none	none			``	``		
Tertullian					De Spectacuils								Part of Perseus 4.0 and new collection	none	stoa0275-stoa027	none	none			``	``		
Tertullian					De Testimionio Animae								new  collection	none	stoa0275-stoa028	none	none			``	``		
Tertullian					De Virginibus Velandis								new  collection	none	stoa0275-stoa029	none	none			``	``		
Tertullian					De Scorpiace								new  collection	none	stoa0275-stoa030	none	none			``	``		
Tertullian					Fragmenta								new  collection	none	stoa0275-stoa031	none	none			``	``		
Tertullian (Pseudo)					Ad Uxorem								new  collection	none	stoa0276-stoa002	none	none			``	``		
Tertullian (Pseudo)					Adversus Omnes Haereses								new  collection	none	stoa0276-stoa003	none	none			``	``		
Tertullian (Pseudo)					Carmen adversus Marcionitas								new  collection	none	stoa0276-stoa004	none	none			``	``		
Tertullian (Pseudo)					De execrandis gentis diis								new  collection	none	stoa0276-stoa005	none	none			``	``		
Tertullian (Pseudo)					Carmen De Iona et Ninive								new  collection	none	stoa0276-stoa006	none	none			``	``		
Tertullian (Pseudo)					De Iudicio Domini								new  collection	none	stoa0276-stoa007	none	none			``	``		
Tertullian (Pseudo)					Genesis								new  collection	none	stoa0276-stoa008	none	none			``	``		
Tertullian (Pseudo)					Incerti Auctoris Carmen Sodoma								new  collection	none	stoa0276-stoa010	none	none			``	``		
Thales, ca. 634-ca. 546 B.C.					Testimonia								new  collection	none	none	none	1705.002			``	``		
Thales, ca. 634-ca. 546 B.C.					Fragmenta 								new  collection	none	none	none	1705.003			``	``		
Thales, ca. 634-ca. 546 B.C.					Fragmentum Lyricum								new collection	none	none	none	1705x01			yes	need to enhance		
Thaletas Musicus (Thales)					Testimonia								new collection	none	none	none	tlg-Thaletas			``	``		
Thallus, Antonius					Epigrammata								new collection	none	none	none	1707.001			yes(dnb)	need to enhance	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1028; http://www.brillonline.nl/subscriber/entry?entry=bnp_e126040	Smith, Volume 3, pg. 1020, Brill, Thallus, 1 and 2?
Theaetetus Cyrenaeus					Epigrammata								new collection	none	none	none	1708.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1029	"Smith, Volume 3, pg. 1021, ""Theaetetus, literary, 3"""
Theaetetus Epigr.					Epigrammata								new collection	none	none	none	4044.001			yes (dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1029	"Smith, Volume 3, pg. 1021, ""Theaetetus, literary, 4"""
Theano					Epistulae								new collection	none	none	none	0054.001			yes	need to enhance		
Theano					Testimonia								new collection	none	none	none	0054.002			``	``		0054 is the TLG identifier for this sauthor, created this identifier
Themistius					Περὶ φιλανθρωπίας ἢ Κωνστάντιος 								new collection	none	none	none	2001.001			yes	need to enhance		
Themistius					Εἰς Κωνστάντιον τὸν αὐτοκράτορα, 								new collection	none	none	none	2001.002			``	``		
Themistius					Πρεσβευτικὸς ὑπὲρ Κωνσταντινουπόλεως ῥηθεὶς ἐν Ῥώμῃ 								new collection	none	none	none	2001.003			``	``		
Themistius					Εἰς τὸν αὐτοκράτορα Κωνστάντιον								new collection	none	none	none	2001.004			``	``		
Themistius					Ὑπατικὸς εἰς τὸν αὐτοκράτορα Ἰοβιανόν								new collection	none	none	none	2001.005			``	``		
Themistius					Φιλάδελφοι ἢ περὶ φιλανθρωπίας								new collection	none	none	none	2001.006			``	``		
Themistius					Περὶ τῶν ἠτυχηκότων ἐπὶ Οὐάλεντος 								new collection	none	none	none	2001.007			``	``		
Themistius					Πενταετηρικός								new collection	none	none	none	2001.008			``	``		
Themistius					Προτρεπτικὸς Οὐαλεντινιανῷ νέῳ								new collection	none	none	none	2001.009			``	``		
Themistius					Ἐπὶ τῆς εἰρήνης Οὐάλεντι 								new collection	none	none	none	2001.010			``	``		
Themistius					Δεκετηρικὸς ἢ περὶ τῶν πρεπόντων λόγων τῷ βασιλεῖ								new collection	none	none	none	2001.011			``	``		
Themistius					Ἐρωτικὸς ἢ περὶ κάλλους βασιλικοῦ								new collection	none	none	none	2001.013			``	``		
Themistius					Πρεσβευτικὸς εἰς Θεοδόσιον αὐτοκράτορα 								new collection	none	none	none	2001.014			``	``		
Themistius					Εἰς Θεοδόσιον· τίς ἡ βασιλικωτάτη τῶν ἀρετῶν								new collection	none	none	none	2001.015			``	``		
Themistius					Χαριστήριος τῷ αὐτοκράτορι ὑπὲρ τῆς εἰρήνης καὶ τῆς ὑπατείας τοῦ στρατηγοῦ Σατορνίνου								new collection	none	none	none	2001.016			``	``		
Themistius					Ἐπὶ τῇ χειροτονίᾳ τῆς πολιαρχίας 								new collection	none	none	none	2001.017			``	``		
Themistius					Περὶ τῆς τοῦ βασιλέως φιληκοΐας								new collection	none	none	none	2001.018			``	``		
Themistius					Ἐπὶ τῇ φιλανθρωπίᾳ τοῦ αὐτοκράτορος Θεοδοσίου 								new collection	none	none	none	2001.019			``	``		
Themistius					Ἐπιτάφιος ἐπὶ τῷ πατρί 								new collection	none	none	none	2001.020			``	``		
Themistius					Βασανιστὴς ἢ φιλόσοφος								new collection	none	none	none	2001.021			``	``		
Themistius					Περὶ φιλίας 								new collection	none	none	none	2001.022			``	``		
Themistius					Σοφιστής 								new collection	none	none	none	2001.023			``	``		
Themistius					Προτρεπτικὸς Νικομηδεῦσιν εἰς φιλοσοφίαν								new collection	none	none	none	2001.024			``	``		
Themistius					Πρὸς τὸν ἀξιώσαντα λέγειν ἐκ τοῦ παραχρῆμα								new collection	none	none	none	2001.025			``	``		
Themistius					<Ὑπὲρ τοῦ λέγειν ἢ πῶς τῷ φιλοσόφῳ λεκτέον> 								new collection	none	none	none	2001.026			``	``		
Themistius					Περὶ τοῦ μὴ δεῖν τοῖς τόποις ἀλλὰ τοῖς ἀνδράσι προσέχειν 								new collection	none	none	none	2001.027			``	``		
Themistius					Ἡ ἐπὶ τῷ λόγῳ διάλεξις								new collection	none	none	none	2001.028			``	``		
Themistius					Πρὸς τοὺς οὐκ ὀρθῶς ἐξηγουμένους τὸν σοφιστήν								new collection	none	none	none	2001.029			``	``		
Themistius					Θέσις εἰ γεωργητέον 								new collection	none	none	none	2001.030			``	``		
Themistius					Περὶ προεδρίας εἰς τὴν σύγκλητον 								new collection	none	none	none	2001.031			``	``		
Themistius					Μετριοπαθὴς ἢ φιλότεκνος								new collection	none	none	none	2001.032			``	``		
Themistius					<Περὶ τῶν ὀνομάτων τοῦ βασιλέως καὶ τοῦ ὑπάτου>								new collection	none	none	none	2001.033			``	``		
Themistius					Πρὸς τοὺς αἰτιασαμένους ἐπὶ τῷ δέξασθαι τὴν ἀρχήν								new collection	none	none	none	2001.034			``	``		
Themistius					Aristotelis Analyticorum Posteriorum paraphrasis								new collection	none	none	none	2001.038			``	``		
Themistius					in Aristotelis Physica paraphrasis								new collection	none	none	none	2001.039			``	``		
Themistius					in libros Aristotelis de Anima paraphrasis								new collection	none	none	none	2001.040			``	``		
Themistogenes					Testimonia								new collection	none	none	none	1924.001			yes (dnb)	need to enhance		
Theocles					Ithypalli								new collection	none	none	none	0206.001			yes(dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1038	Smith, Volume 2, pg. 1030
Theoclius					Fragmenta								new collection	none	none	none	1947.001			yes (dnb)	yes	http://quod.lib.umich.edu/cgi/t/text/pageviewer-idx?c=moa&cc=moa&idno=acl3129.0003.001&frm=frameset&view=image&seq=1038	Smith, Volume 3, pg. 1030
Theocritus					Idylls								Part of Perseus 4.0 and new collection 	Perseus:abo:tlg,0005,001	none	none	0005.001	290BCE-250BCE		yes	yes		
Theocritus					Epigrams								Part of Perseus 4.0 and new collection 	Perseus:abo:tlg,0005,002	none	none	0005.002	290BCE-250BCE		``	``		
Theocritus					Syrinx								new  collection	none	none	none	0005.003			``	``		
Theocritus					Fragmentum								new collection	none	none	none	0005.004			``	``		
Theocritus					Epigrammata								new collection	none	none	none	0005.005			``	``		
