URL/URI	LC #	LC NAME/TITLE or DNB AUTHOR NAME	OLD AUTHOR NAME	LS AUTHOR NAME	PHI AUTHOR NAME	OLD AUTHOR NAME ABBREVIATION	LS AUTHOR NAME ABBREVIATION	A&G AUTHOR NAME ABBREVIATION	WORK TITLE	OLD ABBREVIATED TITLE	LS ABBREVIATED TITLE	A&G ABBREVIATED TITLE	OLD STANDARD EDITION	WE OWN?	TLL Standard Edition	WE OWN?	LS STANDARD EDITION	WE OWN?	PHI#	STOA#	PERSEUS HAS THIS WORK	Other identifier	NOTE	URL
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Cain et Abel	none	Ambros. de Cain et Abel / Ambros. Cain.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa021	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Concordia Matthaei et Lucae in genealogia Christi.	none	none	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa022	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Dignitate conditionis humanae libellus	none	none	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa023	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Dignitate sacerdotali libellus	none	Ambros. Dignit. Sac. / Ambros. Dign. Sacerd.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa024	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Elia et Jejunio	none	Ambros. de Elia	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa025	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	7	none	none	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa026	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Exhortatione virginitatis liber unus	none	Ambros. Exhort. Virg.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa027	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Fide Orthodoxa	none	Ambros. De Fide Orthod.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa028	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Fuga Saeculi	none	Ambros. de Fuga. Saec. / Ambros. Fug. Saec. / Ambros. de Fug.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa029	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Incarnationis Dominicae sacramento liber unus	none	Ambros. Incarn. Sacr. / Incarn. Dom. Sacr. / Ambros. Incarn. Dom. Sacr. / Ambros. Inc. Dom. Sacr.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa030	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Institutione  Virginis	none	Ambros. de Inst. Virg. / Ambros. Inst. Virg.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa031	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Interpellatione Job et David	none	Ambros. de Interp. Job / Ambros. de Job / Ambros. Job.  / Ambros. Interp. / Ambros. in Job.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa032	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Isaac et Anima	none	Ambros. de Isaac / Ambros. Isaac. / de Isaac et an.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa033	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Jacob / De Jocob Et Vita Beata	none	Ambros de Jac. / Ambros. Jac. / Ambros. de Jacob / Ambros. Jacob	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa034	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Joseph Patriarcha	none	Ambros de Jos. Patr. / Ambros. de Jos.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa035	no		Created a STOA identifer for this work	
http://errol.oclc.org/laf/n79-29712.html	n79-29712	Ambrose, Saint, Bishop of Milan, d. 397	none	Ambrosius	none	none	Ambros.	none	De Lapsu virginis consecratae liber	none	Ambros. de Laps. Virg. / Ambros. Laps. Virg.	none	none	n.a.	Schenkl; Migne 16 & 17	no	Migne (Patrologia Latina)	no-need to obtain	none	stoa0022-stoa036	no		Created a STOA identifer for this work	
