Authors	Work Title	Volume	Status	ABOS	STOA	PHI or BHL	TLG	Perseus Identifier	Authority Record	Language	Notes
Anonymi Medici	Physiognomonica.	Scriptores physiognomonici graeci et latin, Vol II	new collection	none	none	none	0721.023		n.a.	Greek	
Anonymous	Antidotarium Bruxellense	Euporiston	new collection	none	stoa0028a-stoa001	none	none		n.a.	Latin	
Anonymous	Anonymi Anapaesti	Anthologia lyrica graeca, Volume II, 1925	new collection	none	none	none	?		n.a.	Greek	
Anonymous	Cambridge Songs	Mediaeval Latin	new collection	none	none	none	none		yes	Latin	
Anonymous	Carmen de Bello Aegyptiaco 	Poetae Latini Minores, Vol I	new collection	none	none	706.1	none		no	Latin	
Anonymous	Carmina Burana	Mediaeval Latin	new collection	none	stoa0305	?	none		no	Latin	
Anonymous	German Latin Lyricists. Selections.	Mediaeval Latin	new collection	none	none	none	none		no	Latin	
Anonymous	Gesta Romanorum	Mediaeval Latin	new collection	none	none	none	none		yes	Latin	
Anonymous	Historia Apollonii Regi Tyri	Mediaeval Latin	new collection	none	none	none	none		yes	Latin	
Anonymous	Historia Septem Sapientum	Mediaeval Latin	new collection	none	none	9500.27	none		no	Latin	
Anonymous	Laus Pisonis	Oxford Book of Latin Verse	new collection	none	none	911.1	none		no	Latin	
Anonymous	Laus Pisonis	Poetae Latini Minores, Vol I	new collection	none	none	911.1	none		no	Latin	
Anonymous	Messallae Panegyristae	Oxford Book of Latin Verse	new collection	none	stoa0281?	660.4	none		no	Latin	Part of Corpus Tibullianum-Created Identifier for this 660.4
Anonymous	Passio et Miracula Beati Olav	Mediaeval Latin	new collection	none	none	none	none		no	Latin	
Anonymous	Pervigilium Veneris	Oxford Book of Latin Verse, Latin Poets, Poetae Latini Minores, Vol IV	new collection	none	stoa0338-stoa001	none	none		yes	Latin	
Anonymous	Physiognomonica anonymi	Scriptores physiognomonici graeci et latini, Vol II	new collection	none	none	none	none		no	Latin	
Anonymous	Precatio Omnium Herbarum	Poetae Latini Minores, Vol I; Minor Latin Poets	new collection	none	stoa0340	990.1	none		no	Latin	
Anonymous	Precatio Terrae	Oxford Book of Latin Verse,   Poetae Latini Minores, Vol I; Remains of Latin Poetry	new collection	none	stoa0341	993.1	none		no	Latin	
Anonymous	The Mediaeval Religious Drama	Mediaeval Latin	new collection	none	none	none	none		no	Latin	
Anonymous	Vita Beati Posthumii: Patris Quinque Millium Monachorum	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL(6412)	none		no	Latin	
Anonymous	Vita Sanctae Eugeniae: Virginis Ac Martyris	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL (2666)	none		no	Latin	
Anonymous	Vita Sanctae Euphrasiae: Virginis	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL (2718)	none		no	Latin	
Anonymous	Vita Sanctae Euphrosynae: Virginis	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL (2723)	none		no	Latin	
Anonymous	Vita Sanctae Marinae: Virginis	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL (5528)	none		no	Latin	
Anonymous	Vita Sanctae Thaisis: Meretricis	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL(8012)	none		no	Latin	
Anonymous	Vita Sancti Frontonii: Abbatis	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL (3189)	none		no	Latin	
Anonymous	Vita Sanctorum Epicteti Presbyteri Et Astionis Monachi	Vitae Patrum Sive Historiae Eremiticae Libri Decem, Book 1	new collection	none	none	BHL (2568)	none		no	Latin	
Anonymous Rhetoric	Ars Rhetorica Clodiani De Statibus	Rhetores Latini Minores	new collection	none	none	?	none		no	Latin	
Anonymous Rhetoric	Carmen de figuris vel Schematibus	Rhetores Latini Minores	new collection	none	none	?	none		no	Latin	
Anonymous Rhetoric	De Attributis Personis et Negotiis	Rhetores Latini Minores	new collection	none	none	?	none		no	Latin	
