urn|authority_name|canonical_id|mads_file|alt_ids|related_works|urn_status|redirect_to|created_by|edited_by|
urn:cite:perseus:primauth.86.1|"Anaritius d. ca. 922"|stoa0024b|"PrimaryAuthors/A/Anaratius/nr95-2413.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.87.1|"Anastasius Traulus Person der Antike"|tlg9005|"PrimaryAuthors/A/Anastasius%20Traulus/AnastasiusTraulus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.88.1|"Anaxandrides Comicus 4. Jh. v. Chr"|tlg0405|"PrimaryAuthors/A/Anaxandrides/anaxandrides.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.89.1|"Anaxilas Comicus 4. Jh. v. Chr"|tlg0406|"PrimaryAuthors/A/Anaxilas/anaxilas.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.90.1|"Anaximander Iunior ca. 4. Jh. v. Chr"|tlg1120|"PrimaryAuthors/A/Anaximander/viaf35262585.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.91.1|"Anaximenes Milesius v546-v528"|tlg1121|"PrimaryAuthors/A/Anaximenes%20Milesius/viaf78005810.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.92.1|"Anaximenes of Lampsacus"|tlg0547|"PrimaryAuthors/A/Anaximenes%20of%20Lampsacus/anaximenes.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.93.1|"Anaxippus Comicus um 307/285 v. Chr"|tlg0407|"PrimaryAuthors/A/Anaxippus/anaxippus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.94.1|"Andocides ca. 440-ca. 390 B.C"|tlg0027|"PrimaryAuthors/A/Andocides/n88-141974.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.95.1|"Andron Alexandrinus 2./1. Jh. v. Chr"|tlg2172|"PrimaryAuthors/A/Andron%20Alexandrinus/viaf66855832.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.96.1|"Andron Halicarnassensis 4. Jh. v. Chr"|tlg1123|"PrimaryAuthors/A/Andron%20Halicarnassensis/viaf74241881.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.97.1|"Andron Historicus ca. 3.Jh.v.Chr"|tlg4347|"PrimaryAuthors/A/Andron%20Historicus%20/viaf61941123.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.98.1|"Andron Teius 4. Jh. v. Chr"|tlg2536|"PrimaryAuthors/A/Andron%20Teius/viaf52080798.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.99.1|"Andronicus Epigrammaticus 3. Jh. v. Chr./1. Jh. n. Chr"|tlg0111|"PrimaryAuthors/A/Andronicus/andronicus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.100.1|"Andronicus, Livius"|phi0094|"PrimaryAuthors/L/Livius%20Andronicus/n80-49661.xml.mads.xml"|"stoa0178"|""|published||feed_aggregator|
urn:cite:perseus:primauth.101.1|"Androtiōn fl. 4th cent. B.C"|tlg1125|"PrimaryAuthors/A/Androtion/n93005025.madsxml.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.102.1|"Annianus"|phi1209|"PrimaryAuthors/A/Annianus/nr95-20711.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.103.1|"Anonymi Epici et Lyrici"|phi9500|"PrimaryAuthors/A/Anonymi%20Epici%20et%20Lyrici/AnonymiEpiciEtLyrici.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.104.1|"Antagoras Rhodius um 276 v. Chr"|tlg0215|"PrimaryAuthors/A/Antagoras/antagoras.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.105.1|"Antander Syracusanus 4./3. Jh. v. Chr"|tlg2389|"PrimaryAuthors/A/Antander/viaf15159428.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.106.1|"Anthimus"|stoa0028b|"PrimaryAuthors/A/Anthimus/n88-106327.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.107.1|"Antidotus Comicus 4. Jh. v. Chr"|tlg0409|"PrimaryAuthors/A/Antidotus/antidotus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.108.1|"Antigenes Atheniensis 5. Jh. v. Chr"|tlg0139|"PrimaryAuthors/A/Antigenes/antigenes.mads.xml"|"tlg0139x01"|""|published||feed_aggregator|
urn:cite:perseus:primauth.109.1|"Antigonus of Carystus fl. 240 B.C"|tlg0568|"PrimaryAuthors/A/Antigonus/nr89-10431.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.110.1|"Antimachus of Colophon"|tlg0239|"PrimaryAuthors/A/Antimachus/n87-829370.xml.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.111.1|"Antiochus Epigrammaticus 1./2. Jh. n. Chr"|tlg0112|"PrimaryAuthors/A/Antiochus%2C%20epigrammatist/antiochus.mads.xml"|""|""|published||feed_aggregator|
urn:cite:perseus:primauth.112.1|"Antiochus Epistolographus 3./2. Jh. v. Chr"|tlg0044|"PrimaryAuthors/A/Antiochus%2C%20Epistolographus/viaf59475586.mads.xml"|""|""|published||feed_aggregator|
